problem_id,ascents,ratings,ratings_average,popularity,featured
764,6,1,4.0,96,false
765,,2,,0,false
766,,3,,0,false
768,13,4,3.3,141,false
769,13,7,2.9,109,false
770,8,3,3.3,87,false
771,7,3,3.0,63,false
772,23,6,3.2,235,false
773,28,13,2.9,235,false
774,16,10,2.9,134,false
775,9,4,3.3,98,false
776,13,4,2.3,68,false
777,7,2,3.5,85,false
778,4,2,1.0,4,false
779,5,3,3.0,45,false
780,5,2,3.0,45,false
781,5,2,2.0,20,false
782,8,4,2.3,42,false
783,9,3,3.0,81,false
785,3,1,3.0,27,false
786,59,61,3.1,566,false
787,130,131,3.5,1592,false
788,13,10,3.0,117,false
789,1,2,2.5,6,false
790,,,,0,false
791,,,,0,false
792,,,,0,false
793,,,,0,false
794,1,2,3.0,9,false
795,2,2,3.5,24,false
796,4,4,3.0,36,false
797,,,,0,false
798,2,3,2.7,14,false
799,,1,,0,false
800,1,2,1.5,2,false
801,,,,0,false
802,,,,0,false
803,,2,,0,false
804,2,1,4.0,32,false
805,4,2,2.0,16,false
806,,,,0,false
807,2,1,3.0,18,false
808,,,,0,false
809,,,,0,false
810,22,20,3.6,285,false
811,5,7,3.0,45,false
812,164,173,3.7,2245,false
813,192,165,3.5,2352,true
814,10,12,3.0,90,false
815,,,,0,false
816,10,10,3.4,115,false
817,3,2,3.5,36,false
818,,,,0,false
819,,1,3.0,0,false
820,26,28,3.6,336,false
821,,,,0,false
822,,,,0,false
823,10,5,2.8,78,false
824,,,,0,false
825,2,3,3.3,21,false
826,18,22,3.5,220,false
827,,,,0,false
828,25,19,2.7,182,false
829,60,69,2.7,437,false
830,50,48,3.1,480,false
831,74,81,3.5,906,false
832,7,6,3.5,85,false
833,4,4,4.5,81,false
834,28,31,2.9,235,false
835,7,8,3.6,90,false
836,,2,,0,false
837,143,135,3.8,2064,false
838,355,341,4.0,5680,true
839,6,7,3.3,65,false
840,4,4,2.8,31,false
841,,,,0,false
842,,,,0,false
843,,,,0,false
844,7,10,2.8,54,false
845,1,3,2.0,4,false
846,74,76,4.5,1498,false
847,,,,0,false
848,,,,0,false
849,4,3,3.3,43,false
850,27,26,2.7,196,false
851,121,101,3.1,1162,false
852,49,50,3.6,635,false
853,2,5,3.2,20,false
854,14,15,2.9,117,false
855,,1,,0,false
856,8,9,2.9,67,false
857,2,2,3.0,18,false
858,,,,0,false
859,,,,0,false
860,,,,0,false
861,31,40,3.5,379,false
862,,,,0,false
863,,,,0,false
864,22,24,3.6,285,false
865,8,7,3.7,109,false
866,5,4,3.5,61,false
867,,,,0,false
868,52,42,3.9,790,false
869,1,2,2.5,6,false
870,7,8,3.1,67,false
871,3,2,2.5,18,false
872,,,,0,false
873,,1,,0,false
874,,1,,0,false
875,18,15,2.5,112,false
876,149,146,3.8,2151,false
877,10,14,3.4,115,false
878,,,,0,false
879,47,48,3.8,678,false
880,255,242,3.6,3304,true
881,467,443,4.1,7850,true
882,,,,0,false
883,,,,0,false
884,,,,0,false
885,148,144,3.9,2251,true
886,8,8,3.4,92,false
887,80,81,4.3,1479,false
888,,,,0,false
889,16,13,4.0,256,false
890,1,2,4.0,16,false
891,153,170,3.9,2327,true
892,26,27,3.5,318,false
893,256,221,3.4,2959,false
894,157,154,3.5,1923,false
895,45,41,3.2,460,false
896,82,86,2.5,512,false
897,20,22,2.5,125,false
898,,,,0,false
899,,,,0,false
900,,,,0,false
901,,,,0,false
902,,1,3.0,0,false
903,,,,0,false
904,6,6,3.0,54,false
905,,,,0,false
906,,,,0,false
907,,,,0,false
908,,,,0,false
909,6,6,3.2,61,false
910,300,288,3.4,3468,false
911,117,112,4.2,2063,false
912,16,16,3.5,196,false
913,152,135,4.0,2432,true
914,430,380,4.1,7228,true
915,243,237,4.1,4084,true
916,629,580,4.0,10064,true
917,265,234,3.8,3826,true
918,309,298,4.5,6257,true
919,59,56,3.7,807,false
920,20,21,3.6,259,false
921,74,80,2.8,580,false
922,,,,0,false
923,78,68,3.2,798,false
924,,,,0,false
925,,,,0,false
926,5,11,3.0,45,false
927,3,5,3.8,43,false
928,1,1,2.0,4,false
929,,,,0,false
930,9,,,0,false
931,,,,0,false
932,25,24,3.7,342,false
933,40,41,3.6,518,false
934,2,,,0,false
935,2,6,3.0,18,false
936,4,2,4.0,64,false
937,598,559,3.9,9095,true
938,56,52,3.8,808,false
939,173,148,3.3,1883,false
940,147,161,3.8,2122,false
941,15,16,3.9,228,false
942,,,,0,false
943,,,,0,false
944,31,26,2.6,209,false
945,15,16,2.7,109,false
946,3,4,2.8,23,false
947,3,4,2.3,15,false
948,4,4,3.0,36,false
949,37,45,2.9,311,false
950,9,5,2.8,70,false
951,,,,0,false
952,,,,0,false
953,,,,0,false
954,,,,0,false
955,,,,0,false
956,,,,0,false
957,,,,0,false
958,,,,0,false
959,11,11,3.5,134,false
960,,,,0,false
961,,,,0,false
962,,1,,0,false
963,28,45,3.8,404,false
964,9,11,3.6,116,false
965,,,,0,false
966,,,,0,false
967,2,2,3.5,24,false
968,2,3,3.0,18,false
969,,,,0,false
970,,,,0,false
971,1,1,3.0,9,false
972,2,5,3.6,25,false
973,2,3,4.3,36,false
974,,1,3.0,0,false
975,,,,0,false
976,60,71,4.2,1058,false
977,16,26,3.9,243,false
978,35,47,3.5,428,false
979,3,6,3.3,32,false
980,,,,0,false
981,,,,0,false
982,,,,0,false
983,,,,0,false
984,,,,0,false
985,7,2,3.5,85,false
986,,,,0,false
987,12,12,2.9,100,false
988,,,,0,false
989,14,20,3.5,171,false
990,,,,0,false
991,7,9,3.0,63,false
992,10,10,3.1,96,false
993,,,,0,false
994,1,2,3.5,12,false
995,,,,0,false
996,,,,0,false
997,1,1,3.0,9,false
998,6,7,2.3,31,false
999,9,11,2.6,60,false
1000,197,208,3.0,1773,false
1001,13,9,3.7,177,false
1002,21,38,3.6,272,false
1003,15,16,3.0,135,false
1004,16,23,4.1,268,false
1005,,,,0,false
1006,,,,0,false
1007,,1,,0,false
1008,33,44,3.4,381,false
1009,17,15,3.1,163,false
1010,92,93,3.6,1192,false
1011,380,339,3.6,4924,true
1012,,,,0,false
1013,,,,0,false
1014,172,171,3.5,2107,false
1015,15,22,3.4,173,false
1016,1,2,3.0,9,false
1017,,3,2.7,0,false
1018,1,2,2.5,6,false
1019,24,20,2.7,174,false
1020,3,5,3.6,38,false
1021,74,74,3.0,666,false
1022,339,344,3.6,4393,false
1023,,1,2.0,0,false
1024,,,,0,false
1025,3,4,2.3,15,false
1026,10,8,4.3,184,false
1027,,,,0,false
1028,,,,0,false
1029,29,25,3.0,261,false
1030,21,24,3.1,201,false
1031,8,8,3.3,87,false
1032,159,154,3.3,1731,false
1033,80,98,3.8,1155,false
1034,,,,0,false
1035,,3,,0,false
1036,3,1,3.0,27,false
1037,,,,0,false
1038,10,11,2.9,84,false
1039,1,2,3.0,9,false
1040,95,112,4.4,1839,false
1041,47,61,4.6,994,false
1042,7,11,3.7,95,false
1043,,,,0,false
1044,,,,0,false
1045,,,,0,false
1046,,,,0,false
1047,,,,0,false
1048,18,23,3.3,196,false
1049,,,,0,false
1050,7,18,4.6,148,false
1051,72,77,4.2,1270,false
1052,6,6,4.2,105,false
1053,34,36,4.0,544,false
1054,,,,0,false
1055,1,2,3.0,9,false
1056,1,1,3.0,9,false
1057,8,8,2.5,50,false
1058,23,30,3.9,349,false
1059,20,23,3.4,231,false
1060,3,5,3.0,27,false
1061,,,,0,false
1062,9,7,3.7,123,false
1063,,,,0,false
1064,5,8,3.3,54,false
1065,2,9,3.2,20,false
1066,,,,0,false
